Rank,Ticker,Last_Price,Momentum_14d,Vol_Surge,Range_Pos_325,Radar_Score,Threshold,Distance_%,Z_Score,Prev_Close
1,AKAM,147.71,50.09,3.69,0.9751,180.1695,11.0088,1536.59,16.95,116.69
2,QCOM,219.09,81.57,1.59,0.9186,119.4541,10.0815,1084.88,8.23,202.55
3,INO,1.46,0.28,6.42,0.2205,0.3964,0.0495,701.54,4.88,1.37
4,DDOG,200.16,70.42,1.86,0.9873,129.0956,21.4971,500.53,5.91,188.73
5,HUM,274.96,64.62,1.74,0.7546,85.0515,15.4792,449.46,9.1,247.12
6,MU,746.81,298.39,1.5,0.9994,448.4302,90.1623,397.36,10.0,646.63
7,FTNT,114.07,31.47,1.62,0.9832,50.1981,10.5188,377.22,6.14,107.97
8,MNST,86.29,9.06,2.98,0.9424,25.4654,5.5157,361.69,8.92,75.97
9,INTC,124.92,59.22,1.5,0.95,84.4932,21.1616,299.28,8.62,109.62
10,DELL,260.46,56.85,1.85,0.9823,103.4895,26.3306,293.04,7.5,230.27
11,CNC,55.96,17.65,0.76,0.74,9.879,2.6138,277.96,3.38,54.98
12,DBX,28.9,4.54,2.71,0.6193,7.6262,2.0788,266.85,5.97,25.13
13,DOCN,163.95,74.38,0.74,0.9941,54.5189,14.9406,264.9,3.63,150.43
14,WMG,33.36,2.85,2.91,0.8218,6.8042,2.0368,234.06,6.3,31.04
15,PANW,207.88,38.32,1.73,0.8128,53.978,16.2,233.2,4.96,196.53
16,CVS,90.55,14.64,1.39,0.9916,20.1362,6.1593,226.92,5.3,87.36
17,NVAX,10.11,1.44,2.95,0.7328,3.1133,0.9603,224.21,3.21,9.23
18,DVA,198.65,49.32,1.03,0.9937,50.2633,15.6456,221.26,3.41,196.26
19,SOXL,176.94,81.0,0.72,0.9967,58.0441,19.1896,202.48,5.39,152.1
20,AMD,455.19,180.24,1.22,0.9972,220.0636,74.2844,196.24,6.06,408.46
21,FCEL,13.7,5.05,1.16,0.944,5.5442,2.015,175.14,2.37,12.28
22,CRSR,7.88,1.37,3.7,0.3981,2.0198,0.748,170.01,2.83,7.09
23,RKLB,105.47,16.01,3.09,0.9983,49.4506,18.4756,167.65,4.81,78.58
24,SOXX,520.3,102.75,1.15,0.9997,117.6283,45.2938,159.7,4.68,492.36
25,ICL,6.37,1.16,2.14,0.6435,1.5956,0.6279,154.1,4.15,6.0
26,EWY,190.2,40.11,1.38,0.9986,55.2231,22.3729,146.83,5.52,176.75
27,TQQQ,76.28,18.2,0.89,0.9995,16.195,6.7326,140.55,3.68,71.34
28,CIBR,75.32,8.27,1.6,0.8854,11.7112,5.1778,126.18,4.05,73.14
29,CYTK,76.91,10.77,1.62,0.9354,16.326,7.4143,120.19,2.69,74.29
30,RELY,24.03,3.39,2.69,0.7841,7.1551,3.2799,118.15,4.17,22.79
31,SMH,566.54,102.58,1.01,0.9994,103.0604,48.4174,112.86,4.01,540.1
32,CRWD,527.77,94.62,1.41,0.8545,114.2025,57.0543,100.16,3.37,505.72
33,STX,782.64,242.89,1.03,0.9738,244.2275,122.0837,100.05,3.89,766.44
34,MCHP,99.09,18.7,1.67,0.9063,28.2691,14.1981,99.11,4.28,101.58
35,AMWL,7.97,1.36,1.58,0.461,0.9915,0.5047,96.47,3.72,7.75
36,BOTZ,41.45,3.95,1.56,0.9978,6.1673,3.1795,93.97,3.65,39.83
37,XLK,175.52,20.96,1.04,0.9994,21.8014,11.7161,86.08,3.42,169.69
38,MANU,19.69,1.79,1.88,0.9726,3.278,1.7629,85.94,2.23,19.13
39,VTRS,17.17,2.3,1.55,0.9672,3.4519,1.9084,80.88,3.29,17.39
40,PWR,745.0,140.03,0.94,0.9221,121.3489,67.261,80.41,2.79,750.73
41,QQQ,711.23,64.44,1.08,1.0,69.7759,40.0335,74.29,3.19,694.94
42,STM,59.17,14.71,0.82,0.9946,12.0534,7.0892,70.02,3.03,55.9
43,AXTI,116.36,37.6,1.03,0.8981,34.7606,21.1305,64.5,4.31,108.42
44,ONL,2.88,0.39,1.33,0.5545,0.2882,0.1764,63.41,2.58,2.84
45,TWLO,201.7,56.08,0.85,0.9841,47.0721,29.473,59.71,2.33,197.07
46,QQQM,292.82,26.52,1.04,1.0,27.6027,18.3539,50.39,2.79,286.12
47,PUBM,10.74,0.85,2.42,0.4109,0.8469,0.5645,50.02,2.06,10.24
48,NTAP,118.0,11.21,1.39,0.8739,13.5877,9.2552,46.81,2.26,113.0
49,IREN,61.2,12.48,2.44,0.7816,23.7908,16.3748,45.29,3.15,56.85
50,CSCO,96.57,8.86,1.37,0.9902,12.03,8.487,41.75,3.17,92.16
51,ABCL,5.24,1.33,1.38,0.7243,1.3249,0.9386,41.16,2.5,4.82
52,TXN,287.8,55.28,0.99,0.9693,52.821,37.6041,40.47,2.09,285.24
53,WDC,480.0,105.89,0.96,0.9915,100.8686,71.8114,40.46,3.29,463.91
54,OSCR,21.31,4.87,1.3,0.8101,5.1226,3.7365,37.09,2.05,20.87
55,RIOT,24.08,5.97,0.82,0.9787,4.7808,3.5857,33.33,2.35,24.11
56,MPC,244.87,30.75,1.13,0.8876,30.7545,23.4964,30.89,2.66,242.26
57,SWKS,66.78,7.32,1.28,0.4863,4.5645,3.6291,25.78,1.84,65.04
58,LOGI,109.39,9.38,1.7,0.7699,12.2967,9.9857,23.14,2.04,103.21
59,ZM,109.21,18.65,0.79,0.9936,14.6951,12.1654,20.79,1.96,108.36
60,GOOGL,400.8,63.38,0.78,0.9954,48.9294,40.6563,20.35,2.17,397.99
61,FIVN,22.1,5.86,0.73,0.2406,1.0325,0.8703,18.64,1.06,22.2
62,TSM,411.68,45.44,1.26,0.9711,55.8084,47.6507,17.12,2.29,414.15
63,VGT,112.44,11.3,0.86,0.9993,9.713,8.4661,14.73,2.17,109.5
64,FFIV,354.03,40.03,0.86,0.9963,34.3808,30.2813,13.54,1.55,345.02
65,HPE,31.35,3.54,1.01,1.0,3.589,3.2509,10.4,1.96,29.7
66,GOOG,397.05,61.65,0.73,0.9948,44.6617,40.7674,9.55,1.95,395.3
67,AMAT,435.44,43.82,1.17,0.9919,50.9488,47.6496,6.92,2.36,410.64
68,BB,6.37,0.87,1.8,0.9382,1.4683,1.4298,2.69,2.01,6.1
69,SKYY,129.89,10.65,1.94,0.7627,15.7573,15.3724,2.5,1.74,129.49
70,AAPL,293.32,20.27,0.94,0.9886,18.8966,18.5958,1.62,1.57,287.44
71,HUT,98.46,19.47,1.0,0.8729,17.0515,16.8511,1.19,1.53,101.18
