Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2026-01-14,5.5,40.58,27.82,15.48,-1.16,❌ LOS
2026-01-20,6.29,43.0,5.7,-1.86,8.37,✅ WIN
2026-01-21,25.08,49.81,-9.05,-14.13,-0.22,❌ LOS
2026-01-22,44.18,51.87,-9.66,-21.21,-3.86,❌ LOS
2026-01-23,18.44,48.71,-9.53,-15.81,3.24,✅ WIN
2026-01-26,8.94,47.99,-11.34,-12.59,5.27,✅ WIN
2026-01-27,6.53,45.45,-7.15,-7.6,13.03,✅ WIN
2026-01-29,6.27,46.86,-12.78,-14.4,14.32,✅ WIN
2026-02-02,5.19,42.55,-1.41,3.24,17.11,✅ WIN
2026-02-23,6.43,50.29,5.08,10.84,1.97,✅ WIN
2026-02-25,5.4,51.37,12.52,8.95,4.22,✅ WIN
2026-02-27,10.44,53.57,-1.96,-1.89,-7.49,❌ LOS
2026-03-02,9.26,52.85,5.48,0.88,-8.73,❌ LOS
2026-03-03,6.1,49.83,10.34,8.23,1.95,✅ WIN
2026-03-04,35.78,57.8,-3.17,-9.34,-13.44,❌ LOS
2026-03-05,14.85,53.83,-0.82,-2.71,-8.6,❌ LOS
2026-03-06,9.48,52.52,0.08,-2.17,-7.14,❌ LOS
2026-03-09,13.07,55.74,-4.36,-8.0,-10.1,❌ LOS
2026-04-17,7.56,53.72,-5.57,-15.54,-8.71,❌ LOS
2026-04-20,5.32,54.59,-10.79,-13.35,-11.87,❌ LOS
