Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-22,1.11,31.23,2.98,-1.13,5.06,✅ WIN
2025-01-23,0.84,31.84,2.0,-5.05,4.22,✅ WIN
2025-01-27,1.24,32.83,-5.44,-7.92,7.41,✅ WIN
2025-01-30,0.91,32.48,-6.92,-7.49,4.77,✅ WIN
2025-02-24,2.37,34.42,-0.14,4.73,-3.75,❌ LOS
2025-02-25,3.84,35.27,-2.73,0.24,-7.9,❌ LOS
2025-02-26,2.14,34.6,0.2,-1.94,-4.93,❌ LOS
2025-02-27,1.33,34.44,1.46,-1.09,-3.52,❌ LOS
2025-02-28,1.49,34.03,5.97,0.23,-2.2,❌ LOS
2025-03-03,1.34,34.37,4.88,-0.03,-1.81,❌ LOS
2025-03-04,1.59,34.3,3.05,-0.8,-2.21,❌ LOS
2025-03-05,1.48,34.67,-2.13,-3.04,-4.29,❌ LOS
2025-03-06,1.25,34.94,-2.51,-5.64,-11.54,❌ LOS
2025-03-07,2.8,36.06,-5.41,-9.24,-21.27,❌ LOS
2025-03-10,2.99,36.05,-4.68,-8.1,-21.66,❌ LOS
2025-03-11,2.03,35.35,-3.74,-8.12,-21.98,❌ LOS
2025-05-12,1.53,31.43,-1.29,-3.17,0.05,✅ WIN
2026-06-26,1.24,22.04,2.45,2.4,5.9,✅ WIN
