Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-13,4.99,77.86,-1.54,8.64,11.46,✅ WIN
2024-11-21,12.76,80.63,4.14,6.95,4.51,✅ WIN
2024-11-22,8.23,81.6,1.94,6.86,2.57,✅ WIN
2024-11-25,21.63,85.15,-1.09,1.09,-0.28,❌ LOS
2024-11-26,6.5,85.09,-1.72,2.24,0.09,✅ WIN
2024-11-27,5.97,84.59,-0.04,2.59,-0.97,❌ LOS
2024-12-03,7.82,84.22,2.21,-1.31,-3.56,❌ LOS
2024-12-05,4.84,84.56,2.63,-0.39,-5.69,❌ LOS
2024-12-06,17.87,86.23,0.03,-2.27,-8.25,❌ LOS
2024-12-09,13.31,87.2,-1.4,-4.01,-6.04,❌ LOS
2024-12-10,7.23,86.08,-3.44,-1.36,-8.99,❌ LOS
2024-12-11,7.19,87.0,-6.41,-2.1,-9.77,❌ LOS
2025-01-29,4.73,85.7,-2.12,0.86,-4.36,❌ LOS
2025-01-31,5.24,85.64,-0.46,3.81,-4.82,❌ LOS
2025-02-06,6.07,86.54,1.22,-4.54,-11.35,❌ LOS
2025-02-10,4.95,85.45,4.38,-2.91,-14.84,❌ LOS
2025-02-11,5.3,86.7,0.85,-4.82,-16.33,❌ LOS
2025-04-01,4.95,78.88,-7.06,-14.14,-18.01,❌ LOS
2025-04-02,13.17,82.77,-3.27,-22.54,-20.84,❌ LOS
2025-04-09,10.49,80.06,-19.92,-17.96,-16.87,❌ LOS
