Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-04-10,0.14,4.4,-7.95,-2.27,-12.73,❌ LOS
2025-04-11,0.03,4.52,-11.5,-3.76,-13.5,❌ LOS
2025-04-14,0.04,4.82,-17.01,-13.9,-18.05,❌ LOS
2025-04-15,0.02,4.47,-8.28,-10.74,-16.33,❌ LOS
2025-08-21,0.13,4.13,-6.78,-3.39,-56.66,❌ LOS
2025-08-22,0.04,4.0,-5.75,6.5,-56.0,❌ LOS
2025-08-25,0.04,4.1,-0.24,6.83,-59.02,❌ LOS
2025-08-26,0.02,3.99,-2.76,23.31,-55.89,❌ LOS
2025-09-02,0.04,4.09,7.09,-56.48,-58.19,❌ LOS
2025-09-08,0.06,4.26,-34.98,-58.69,-52.11,❌ LOS
2025-09-09,0.03,4.38,-59.36,-61.64,-54.11,❌ LOS
2025-09-10,0.1,4.92,-64.02,-64.23,-59.76,❌ LOS
2026-03-23,0.1,1.46,-22.6,-19.86,-13.7,❌ LOS
