Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2026-01-07,23.59,24.11,-8.34,-25.67,-15.26,❌ LOS
2026-01-08,31.85,25.83,-0.43,-32.64,-6.85,❌ LOS
2026-01-09,21.14,22.99,-3.91,-22.58,20.79,✅ WIN
2026-02-20,22.75,29.68,27.7,9.06,82.75,✅ WIN
2026-02-24,21.08,35.08,19.04,26.28,95.1,✅ WIN
2026-02-25,31.16,40.97,-4.49,15.6,64.39,✅ WIN
2026-02-26,15.94,37.12,4.53,25.89,57.62,✅ WIN
2026-03-02,31.29,46.32,-16.75,4.47,13.84,✅ WIN
2026-03-03,25.59,41.76,6.08,6.23,36.45,✅ WIN
2026-03-10,32.95,44.3,0.14,54.49,20.05,✅ WIN
2026-03-11,29.56,47.36,2.96,42.21,33.28,✅ WIN
2026-03-12,20.81,46.73,24.31,25.21,37.34,✅ WIN
2026-03-13,22.41,48.86,11.01,24.09,36.0,✅ WIN
2026-03-16,14.48,48.39,33.17,8.97,39.08,✅ WIN
2026-03-19,20.68,58.09,0.72,-9.04,42.12,✅ WIN
