Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-10-01,43.68,148.04,9.92,2.69,9.69,✅ WIN
2025-10-07,48.39,149.22,-1.39,-0.6,2.86,✅ WIN
2025-10-08,74.47,162.73,-6.58,-8.43,-7.04,❌ LOS
2025-10-09,33.81,154.24,-2.98,-0.75,-4.0,❌ LOS
2026-02-27,77.71,147.62,-1.08,2.39,16.03,✅ WIN
2026-03-02,37.15,153.08,-4.58,1.95,7.24,✅ WIN
2026-03-24,42.74,176.36,-7.22,4.84,21.71,✅ WIN
2026-03-25,38.0,183.44,-7.95,-1.39,15.64,✅ WIN
2026-04-20,33.14,203.61,6.07,3.94,16.9,✅ WIN
2026-04-21,52.32,212.36,-3.03,1.86,10.78,✅ WIN
