Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-07,18.74,117.33,0.73,3.08,11.19,✅ WIN
2024-11-13,26.61,119.94,-1.93,1.28,5.81,✅ WIN
2024-11-14,18.25,118.19,2.33,3.21,6.14,✅ WIN
2024-11-20,16.38,117.62,3.27,7.87,2.79,✅ WIN
2024-11-21,18.89,120.94,0.86,7.87,1.89,✅ WIN
2024-11-22,25.34,122.95,-0.33,4.1,-0.02,❌ LOS
2024-11-25,35.31,123.66,-0.27,0.78,0.1,✅ WIN
2024-12-06,22.62,130.46,-3.84,-5.55,-7.7,❌ LOS
2024-12-09,17.94,127.99,-0.65,-3.95,-5.67,❌ LOS
2025-05-08,23.84,109.23,6.32,4.73,8.98,✅ WIN
2025-05-09,19.05,108.85,7.39,4.16,9.07,✅ WIN
2025-05-12,26.67,114.06,2.06,1.5,3.66,✅ WIN
2025-05-13,21.25,116.45,-0.28,-0.92,0.78,✅ WIN
2025-09-09,16.34,132.44,1.74,3.08,1.4,✅ WIN
2025-09-10,46.53,134.7,0.03,0.39,2.1,✅ WIN
2025-09-11,41.29,135.33,0.96,-0.96,1.6,✅ WIN
2026-04-21,16.15,120.34,-2.05,8.26,6.46,✅ WIN
2026-05-04,17.96,126.64,1.2,2.09,20.89,✅ WIN
