Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-21,1.51,10.98,-2.64,-0.09,13.75,✅ WIN
2025-01-30,1.85,11.63,-1.38,0.86,-14.36,❌ LOS
2025-01-31,1.23,10.78,5.38,12.8,-18.83,❌ LOS
2025-02-12,1.21,12.35,-2.35,-18.95,-36.11,❌ LOS
2025-02-14,1.27,12.16,-8.14,-28.04,-32.57,❌ LOS
2026-05-26,1.46,8.48,0.24,0.24,0.12,✅ WIN
2026-05-27,3.06,8.84,-4.3,-4.75,-4.98,❌ LOS
2026-05-28,1.86,9.46,-7.19,-3.17,-2.85,❌ LOS
2026-05-29,2.13,9.83,-12.31,-7.32,-5.39,❌ LOS
2026-06-01,1.56,9.05,-3.31,-3.98,0.77,✅ WIN
2026-07-10,6.08,9.91,33.5,11.91,27.65,✅ WIN
2026-07-13,11.81,11.01,14.26,-2.18,17.53,✅ WIN
2026-07-14,4.47,10.88,-1.01,-0.37,14.43,✅ WIN
2026-07-15,2.16,11.03,-1.99,-2.45,11.88,✅ WIN
2026-07-16,2.14,10.95,0.91,-4.84,11.42,✅ WIN
2026-07-17,13.4,13.23,-16.18,-1.59,-6.27,❌ LOS
