Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-06,22.12,214.2,-3.58,-12.28,-10.58,❌ LOS
2025-10-24,24.44,197.04,-8.61,-14.71,-14.92,❌ LOS
2025-12-10,29.04,194.85,0.58,4.26,13.37,✅ WIN
2025-12-19,22.6,197.06,3.1,9.67,15.08,✅ WIN
2026-01-07,22.43,216.77,-0.18,3.35,-15.26,❌ LOS
2026-01-08,27.51,215.51,3.69,1.9,-12.2,❌ LOS
2026-01-09,45.21,220.91,-0.55,0.65,-15.94,❌ LOS
2026-01-12,23.28,218.82,-0.29,0.32,-17.17,❌ LOS
2026-01-13,23.27,218.99,3.55,-0.96,-24.21,❌ LOS
2026-01-15,22.4,223.47,-1.73,-5.81,-27.8,❌ LOS
2026-06-09,22.54,189.85,-2.67,6.45,23.04,✅ WIN
