Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2026-03-12,49.74,229.2,2.48,7.93,-3.24,❌ LOS
2026-03-18,36.35,235.34,2.12,0.81,-4.23,❌ LOS
2026-03-19,50.57,234.88,5.31,2.52,-9.37,❌ LOS
2026-03-20,41.49,231.65,8.33,3.81,-7.92,❌ LOS
2026-05-05,42.73,259.52,-3.27,0.96,2.96,✅ WIN
2026-05-08,32.51,243.94,4.15,4.39,9.11,✅ WIN
2026-05-11,33.59,251.52,2.79,-1.38,2.64,✅ WIN
2026-05-12,33.37,251.03,4.38,-1.59,4.88,✅ WIN
2026-05-13,44.97,248.14,4.12,1.28,5.1,✅ WIN
2026-07-13,43.06,296.88,6.21,5.21,7.9,✅ WIN
2026-07-14,50.24,303.4,5.39,0.87,10.88,✅ WIN
2026-07-15,49.35,299.18,5.56,3.19,16.4,✅ WIN
2026-07-16,40.67,305.85,2.1,2.69,16.52,✅ WIN
