Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-10-21,4.84,6.21,10.31,-3.7,13.37,✅ WIN
2024-10-24,6.19,6.21,4.99,32.21,12.56,✅ WIN
2024-10-28,4.05,6.85,-12.7,28.76,2.04,✅ WIN
2024-11-06,4.21,7.67,-4.17,-6.13,0.52,✅ WIN
2025-08-14,18.51,8.71,5.51,8.38,23.54,✅ WIN
2025-08-15,7.41,8.97,2.12,5.35,16.95,✅ WIN
2025-08-18,9.47,9.38,-4.8,2.67,16.63,✅ WIN
2025-08-19,4.98,8.78,5.24,2.28,29.27,✅ WIN
2025-08-22,3.92,9.16,3.17,0.44,25.44,✅ WIN
2025-10-14,7.49,15.46,-15.01,3.1,-19.99,❌ LOS
2025-10-15,4.88,15.47,-18.42,-6.27,-18.29,❌ LOS
2025-10-28,9.65,15.94,-5.83,-22.4,-12.55,❌ LOS
2026-02-09,6.35,16.65,-2.82,5.47,-13.81,❌ LOS
2026-02-10,5.54,16.63,-7.52,7.76,-8.48,❌ LOS
2026-02-25,3.94,17.92,-14.23,-15.07,-5.92,❌ LOS
2026-02-26,3.75,17.88,-14.82,-17.95,-14.15,❌ LOS
