Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-05-01,58.5,421.26,3.0,6.71,8.42,✅ WIN
2025-05-07,40.94,429.13,4.52,4.63,8.12,✅ WIN
2025-05-08,52.37,433.9,3.6,4.0,7.55,✅ WIN
2025-05-09,40.79,434.46,3.73,2.8,7.95,✅ WIN
2025-05-12,70.11,444.88,2.33,2.73,5.01,✅ WIN
2025-05-13,65.09,444.76,2.2,2.02,5.42,✅ WIN
2025-05-14,49.63,448.53,0.1,1.45,5.92,✅ WIN
2025-05-15,52.38,449.54,0.38,1.6,4.82,✅ WIN
2025-05-16,58.75,450.67,-0.9,1.7,5.47,✅ WIN
2025-05-19,56.17,455.23,0.4,0.89,4.18,✅ WIN
2025-05-20,39.56,454.54,-0.18,1.24,4.82,✅ WIN
2025-06-27,42.04,492.01,0.36,1.43,3.34,✅ WIN
2025-07-31,76.81,529.27,-2.37,-2.07,-4.32,❌ LOS
2026-05-29,42.61,450.24,-7.46,-13.22,-18.14,❌ LOS
2026-06-01,41.19,460.52,-10.59,-13.19,-19.0,❌ LOS
