Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-20,40.78,429.31,-1.67,-4.41,-3.93,❌ LOS
2025-05-01,58.5,421.26,3.0,6.71,8.42,✅ WIN
2025-05-02,36.4,431.04,0.79,4.55,6.33,✅ WIN
2025-05-07,40.94,429.13,4.52,4.63,8.12,✅ WIN
2025-05-08,52.37,433.9,3.6,4.0,7.55,✅ WIN
2025-05-09,40.79,434.46,3.73,2.8,7.95,✅ WIN
2025-05-12,70.11,444.88,2.33,2.73,5.01,✅ WIN
2025-05-13,65.09,444.76,2.2,2.02,5.42,✅ WIN
2025-05-14,49.63,448.53,0.1,1.45,5.92,✅ WIN
2025-05-15,52.38,449.54,0.38,1.6,4.82,✅ WIN
2025-05-16,58.75,450.67,-0.9,1.7,5.47,✅ WIN
2025-05-19,56.17,455.23,0.4,0.89,4.18,✅ WIN
2025-05-20,39.56,454.54,-0.18,1.24,4.82,✅ WIN
2025-05-30,35.67,456.71,2.18,3.17,8.05,✅ WIN
2025-06-27,42.04,492.01,0.36,1.43,3.34,✅ WIN
2025-06-30,33.85,493.47,-0.16,1.69,3.05,✅ WIN
2025-07-31,76.81,529.27,-2.37,-2.07,-4.32,❌ LOS
2025-08-04,35.12,531.4,-2.59,-3.46,-5.54,❌ LOS
2025-10-29,34.7,538.14,-6.35,-5.62,-10.18,❌ LOS
2026-04-17,34.57,421.88,0.43,-1.97,-0.21,❌ LOS
