Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-20,55.27,219.24,-0.11,0.31,-0.8,❌ LOS
2024-10-29,76.67,240.33,-3.08,1.53,4.82,✅ WIN
2025-01-29,165.02,300.46,0.95,3.37,-3.16,❌ LOS
2025-01-30,59.01,301.48,1.98,2.98,-3.0,❌ LOS
2025-01-31,41.56,297.26,3.14,4.35,-4.41,❌ LOS
2025-02-03,47.01,295.19,4.46,4.2,-5.11,❌ LOS
2025-02-04,45.56,299.78,2.87,3.44,-5.69,❌ LOS
2025-02-12,41.61,310.6,-1.93,-6.32,-17.12,❌ LOS
2025-07-31,68.44,313.42,1.22,1.62,1.59,✅ WIN
2025-09-19,42.48,328.69,-1.16,-1.13,-8.45,❌ LOS
2026-04-29,61.82,328.15,3.92,8.91,16.85,✅ WIN
