Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-08,13.55,285.43,-0.95,0.29,-1.2,❌ LOS
2024-11-21,15.83,285.13,2.01,-1.39,-6.76,❌ LOS
2024-11-22,12.92,286.25,-0.47,-1.48,-6.94,❌ LOS
2024-11-25,19.94,290.06,-2.78,-3.87,-7.37,❌ LOS
2025-02-05,16.7,279.52,-1.82,-0.47,1.91,✅ WIN
2025-02-06,16.22,281.68,-2.16,-1.12,1.23,✅ WIN
2025-02-19,14.47,275.18,3.55,5.84,2.76,✅ WIN
2025-02-24,14.6,282.05,5.15,0.22,2.26,✅ WIN
2025-02-28,32.03,294.43,-3.15,-5.32,-1.79,❌ LOS
2025-03-03,19.71,296.59,-4.69,-4.32,-1.49,❌ LOS
2025-03-07,13.3,285.14,-2.23,-0.56,-9.42,❌ LOS
2025-03-31,15.29,292.16,-14.41,-11.06,-10.25,❌ LOS
2025-04-01,12.2,291.15,-16.65,-10.51,-8.63,❌ LOS
2025-04-02,21.12,292.76,-11.47,-11.49,-7.4,❌ LOS
2025-05-02,17.37,279.06,-3.46,-1.4,-2.79,❌ LOS
2025-05-05,13.86,274.76,-0.7,-0.63,-2.59,❌ LOS
2025-06-12,13.48,276.13,-1.87,-1.5,-0.91,❌ LOS
2026-04-28,13.21,265.54,-0.44,0.28,3.34,✅ WIN
2026-04-29,15.24,262.6,0.88,2.65,4.35,✅ WIN
