Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-04,3.24,47.51,-0.2,1.49,1.46,✅ WIN
2025-02-05,4.13,48.31,-2.25,1.66,0.17,✅ WIN
2025-02-20,2.88,49.12,-1.96,-1.47,-5.27,❌ LOS
2025-02-24,2.72,48.5,-0.03,1.26,-5.75,❌ LOS
2025-04-29,4.2,44.66,-1.61,-1.71,-1.85,❌ LOS
2026-02-04,4.5,47.15,3.15,2.0,-8.85,❌ LOS
2026-02-06,4.41,46.77,3.99,5.0,-11.03,❌ LOS
2026-02-09,3.33,47.0,2.38,3.66,-11.89,❌ LOS
2026-02-11,7.16,48.63,-1.12,-2.43,-18.43,❌ LOS
2026-02-12,3.48,48.29,1.51,-1.36,-17.37,❌ LOS
2026-02-13,2.94,48.63,0.98,-2.61,-17.88,❌ LOS
2026-02-20,4.86,49.02,-2.82,-13.16,-23.19,❌ LOS
2026-02-23,3.43,49.11,-3.55,-15.27,-21.16,❌ LOS
2026-02-24,3.0,48.72,-4.76,-15.0,-21.0,❌ LOS
2026-06-25,2.52,42.86,4.99,0.75,3.92,✅ WIN
2026-06-30,2.81,43.35,-3.23,0.12,5.74,✅ WIN
2026-07-01,3.05,43.64,-2.15,2.75,3.46,✅ WIN
2026-07-02,3.68,45.0,-4.04,-2.36,-0.27,❌ LOS
