Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-13,6.68,38.23,1.04,-2.87,3.15,✅ WIN
2025-06-13,8.38,40.65,-4.86,-8.57,-3.76,❌ LOS
2025-06-18,8.1,39.74,-5.19,-4.24,-3.0,❌ LOS
2025-11-10,7.57,42.79,2.99,2.69,1.55,✅ WIN
2025-11-12,6.63,43.89,1.7,0.5,0.18,✅ WIN
2026-01-13,6.24,47.76,4.94,10.12,16.23,✅ WIN
2026-01-14,9.52,49.27,0.44,8.14,10.96,✅ WIN
2026-01-21,6.94,50.12,4.93,5.21,12.45,✅ WIN
2026-01-28,6.68,52.59,0.26,5.55,4.72,✅ WIN
2026-01-29,7.84,53.28,-1.04,2.61,5.27,✅ WIN
2026-01-30,8.82,52.56,1.57,5.7,9.08,✅ WIN
2026-02-02,6.93,52.26,3.82,4.61,8.51,✅ WIN
2026-02-03,7.58,53.05,2.15,4.47,8.09,✅ WIN
2026-02-06,6.55,53.39,4.07,4.59,7.52,✅ WIN
2026-03-03,7.26,56.7,1.02,8.15,16.59,✅ WIN
2026-03-19,12.66,63.32,2.62,4.07,-3.41,❌ LOS
2026-03-20,10.93,63.71,4.63,3.72,-3.22,❌ LOS
2026-03-23,6.84,63.19,4.42,5.7,-1.01,❌ LOS
2026-03-27,7.35,66.66,-0.87,-2.73,-3.29,❌ LOS
2026-03-30,7.17,65.98,1.23,-3.67,-1.2,❌ LOS
2026-03-31,9.78,66.11,-2.37,-4.75,1.45,✅ WIN
