Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-31,80.62,461.68,1.65,-0.58,4.69,✅ WIN
2025-02-03,55.18,470.37,-0.09,-1.76,3.37,✅ WIN
2025-02-04,67.31,482.28,-5.61,-2.18,1.94,✅ WIN
2025-02-05,49.92,488.44,-7.21,-1.66,-0.56,❌ LOS
2025-03-10,43.98,500.01,2.75,2.35,-5.09,❌ LOS
2025-12-19,63.34,456.2,0.78,2.67,1.08,✅ WIN
2026-03-10,55.06,499.17,-7.35,-10.13,-11.07,❌ LOS
2026-06-26,174.34,491.34,7.78,-2.26,-2.51,❌ LOS
2026-06-29,55.65,499.65,4.52,-4.67,-1.85,❌ LOS
2026-07-01,42.07,498.01,-0.3,-2.41,-3.28,❌ LOS
2026-07-02,81.04,528.04,-8.08,-8.03,-9.65,❌ LOS
2026-07-06,67.53,529.59,-9.32,-9.27,-11.12,❌ LOS
2026-07-07,79.44,522.25,-8.8,-7.71,-8.34,❌ LOS
2026-07-08,41.3,498.43,-4.28,-5.19,-2.73,❌ LOS
