Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-21,5.59,45.97,-1.64,-6.28,-13.36,❌ LOS
2025-01-21,5.81,44.61,-4.26,-3.68,-1.56,❌ LOS
2025-06-13,4.73,42.37,-1.56,-2.95,-0.58,❌ LOS
2026-01-05,5.26,46.25,-1.17,1.51,10.19,✅ WIN
2026-01-14,6.9,47.41,1.77,5.1,12.32,✅ WIN
2026-01-21,5.27,48.09,2.67,8.37,13.19,✅ WIN
2026-01-22,4.94,48.24,3.27,6.75,12.21,✅ WIN
2026-01-29,5.59,49.82,3.37,6.87,10.71,✅ WIN
2026-01-30,5.8,50.36,4.31,6.46,11.73,✅ WIN
2026-02-03,7.14,50.97,3.7,6.02,8.75,✅ WIN
2026-02-04,6.75,52.11,4.07,4.45,6.91,✅ WIN
2026-02-11,6.24,54.23,0.36,0.13,4.6,✅ WIN
2026-02-12,5.51,53.25,1.67,3.59,6.89,✅ WIN
2026-02-18,4.86,54.03,0.16,2.57,6.66,✅ WIN
2026-02-19,5.0,54.43,-0.24,2.36,7.58,✅ WIN
2026-03-02,7.59,56.26,-1.26,1.51,9.34,✅ WIN
2026-03-03,6.76,55.75,-1.63,3.52,9.09,✅ WIN
2026-03-27,5.54,62.11,-4.6,-8.71,-9.26,❌ LOS
2026-03-30,4.78,61.52,-2.91,-9.7,-6.86,❌ LOS
2026-03-31,6.43,60.82,-5.24,-8.98,-3.64,❌ LOS
