Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-02,1.28,28.69,0.3,0.17,-0.1,❌ LOS
2025-01-03,3.85,28.6,0.91,-0.81,-0.71,❌ LOS
2025-01-06,1.1,28.42,0.92,0.0,-0.24,❌ LOS
2025-01-07,0.58,28.53,0.37,-0.41,-0.68,❌ LOS
2025-01-08,0.94,28.63,0.0,-1.38,-0.61,❌ LOS
2025-05-12,0.63,27.12,-1.28,-1.89,-2.32,❌ LOS
2025-10-09,0.55,27.1,-1.11,-0.43,0.54,✅ WIN
2026-03-02,0.62,27.33,0.48,1.46,2.38,✅ WIN
2026-03-03,0.79,27.46,-0.04,0.8,1.17,✅ WIN
2026-03-05,0.87,27.48,0.73,0.36,1.38,✅ WIN
2026-03-06,0.66,27.47,1.53,0.76,1.31,✅ WIN
2026-03-09,0.66,27.46,0.98,0.36,1.06,✅ WIN
2026-03-13,0.99,27.89,-0.75,-0.18,-1.83,❌ LOS
2026-03-16,1.07,27.73,-0.61,0.9,-1.48,❌ LOS
2026-03-18,0.74,27.85,-0.54,-0.43,-1.72,❌ LOS
2026-06-17,0.59,28.18,1.06,0.57,0.53,✅ WIN
2026-06-18,0.56,28.3,0.57,0.07,0.32,✅ WIN
2026-06-22,0.63,28.36,0.04,0.14,0.42,✅ WIN
2026-06-23,0.71,28.45,-0.14,-0.32,0.0,❌ LOS
2026-06-24,0.56,28.53,-0.14,-0.6,0.11,✅ WIN
2026-06-25,0.54,28.48,-0.49,-0.32,0.35,✅ WIN
