Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-06-06,6.5,16.41,5.12,15.72,3.72,✅ WIN
2025-06-09,3.76,17.01,3.35,13.11,3.88,✅ WIN
2025-06-10,2.55,17.01,1.88,8.23,4.12,✅ WIN
2025-06-11,2.27,16.89,2.37,7.87,4.09,✅ WIN
2025-06-12,3.56,17.27,0.58,5.21,3.59,✅ WIN
2025-06-13,2.27,17.25,10.09,3.25,2.2,✅ WIN
2025-06-16,2.0,17.58,9.44,-3.36,0.4,✅ WIN
2025-06-20,2.36,17.37,4.61,-0.29,1.67,✅ WIN
2025-06-23,15.17,18.99,-6.21,-10.37,-5.16,❌ LOS
2025-06-24,12.27,19.24,-11.69,-8.16,-5.56,❌ LOS
2025-06-25,7.34,18.41,-5.21,-3.8,-2.44,❌ LOS
2025-06-26,3.2,18.22,-3.95,-3.51,-4.23,❌ LOS
2025-10-15,6.52,18.24,0.82,-5.15,-13.32,❌ LOS
2025-10-16,2.44,17.94,2.95,-3.57,-13.27,❌ LOS
2025-10-17,2.95,17.92,1.56,-7.2,-12.56,❌ LOS
2025-10-20,8.72,18.73,-2.62,-14.42,-18.21,❌ LOS
2025-10-21,2.68,18.56,-3.66,-15.3,-16.65,❌ LOS
2025-10-23,1.85,18.47,-6.33,-15.43,-17.0,❌ LOS
2026-01-26,2.48,17.64,-0.11,-0.62,0.51,✅ WIN
