Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-06,97.38,268.99,1.97,1.66,-14.83,❌ LOS
2025-05-12,55.92,261.45,4.98,8.21,1.31,✅ WIN
2025-05-13,45.05,266.67,3.86,5.33,-0.79,❌ LOS
2025-05-14,47.76,266.43,1.61,3.03,-0.87,❌ LOS
2025-05-16,42.53,271.36,-0.16,0.51,-1.53,❌ LOS
2025-05-19,55.37,274.46,3.08,1.49,-4.41,❌ LOS
2025-05-20,50.59,276.96,1.41,-0.84,-4.42,❌ LOS
2025-05-21,69.78,270.71,1.41,0.45,-3.55,❌ LOS
2025-05-22,78.0,274.21,-0.22,-0.94,-2.48,❌ LOS
2025-05-27,45.26,282.91,-1.54,-6.37,-3.97,❌ LOS
2025-11-24,49.52,348.14,1.69,1.59,3.65,✅ WIN
2025-11-25,71.39,362.58,-1.74,-1.87,-0.82,❌ LOS
2025-11-26,49.7,369.27,-3.84,-0.97,-3.29,❌ LOS
2025-12-05,49.17,366.48,0.49,-1.6,-1.16,❌ LOS
2026-04-13,42.95,376.98,3.33,-1.75,-8.99,❌ LOS
2026-04-17,63.98,386.88,-4.04,-6.38,-15.53,❌ LOS
2026-04-20,51.18,389.52,-4.91,-9.04,-16.34,❌ LOS
2026-04-21,45.65,386.77,-5.15,-6.92,-17.09,❌ LOS
