Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-21,62.39,357.52,-17.88,-16.21,-18.42,❌ LOS
2025-05-01,98.81,321.62,1.34,5.73,6.41,✅ WIN
2025-05-12,68.81,332.47,3.58,2.87,4.8,✅ WIN
2025-05-13,74.03,343.25,0.4,-0.95,3.55,✅ WIN
2025-05-14,62.92,342.82,-0.56,-0.99,4.52,✅ WIN
2025-06-27,62.77,380.89,1.22,1.53,8.09,✅ WIN
2025-07-28,62.03,411.7,-4.46,-6.76,-8.17,❌ LOS
2025-10-08,67.55,443.25,-1.47,-7.04,2.26,✅ WIN
2026-01-16,81.17,466.66,0.86,2.36,12.51,✅ WIN
2026-01-21,62.49,473.15,1.7,-1.83,17.07,✅ WIN
2026-01-29,73.74,483.34,-1.18,6.71,16.48,✅ WIN
2026-01-30,87.69,474.54,7.05,10.42,20.65,✅ WIN
2026-02-19,104.41,553.89,1.99,-0.86,4.32,✅ WIN
2026-02-20,69.09,552.55,1.89,-2.26,0.49,✅ WIN
2026-02-23,62.41,549.0,4.29,3.45,3.34,✅ WIN
2026-02-24,84.67,568.1,-0.39,-0.73,1.8,✅ WIN
2026-02-25,73.93,562.66,1.0,0.88,1.91,✅ WIN
2026-02-26,75.81,564.94,-2.8,0.33,-3.44,❌ LOS
2026-02-27,65.96,562.97,-4.07,-0.72,-2.33,❌ LOS
