Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-26,0.2,4.95,1.55,2.33,3.59,✅ WIN
2024-09-30,0.28,5.09,-1.36,-0.15,-0.3,❌ LOS
2025-01-17,0.23,4.89,-0.53,1.13,3.12,✅ WIN
2025-02-18,0.29,5.04,-0.37,-1.35,-3.63,❌ LOS
2025-02-19,0.39,5.07,-1.5,-1.82,-2.96,❌ LOS
2025-05-12,0.34,4.91,1.55,1.18,2.23,✅ WIN
2025-05-13,0.37,4.95,1.2,-0.03,1.35,✅ WIN
2025-05-15,0.24,5.0,-1.74,-0.02,1.35,✅ WIN
2025-05-20,0.28,5.01,-1.22,0.15,0.67,✅ WIN
2025-05-21,0.26,4.95,1.7,1.18,1.7,✅ WIN
2026-01-12,0.37,5.29,-0.36,0.49,2.84,✅ WIN
2026-01-13,0.24,5.31,0.53,1.21,2.12,✅ WIN
2026-01-20,0.24,5.27,0.85,1.76,4.3,✅ WIN
2026-01-21,0.37,5.34,0.68,1.57,2.65,✅ WIN
2026-01-22,0.29,5.35,-0.04,0.5,1.89,✅ WIN
2026-01-29,0.21,5.35,0.54,1.43,0.29,✅ WIN
2026-02-17,0.3,5.52,-2.31,-3.55,-6.71,❌ LOS
