Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-24,6.9,184.85,1.7,-5.59,-5.4,❌ LOS
2025-01-27,10.57,188.83,-0.44,-7.7,-7.5,❌ LOS
2025-01-28,9.34,189.12,-2.67,-7.85,-8.63,❌ LOS
2025-01-29,9.1,187.47,-0.75,-8.53,-9.21,❌ LOS
2025-01-31,8.92,188.0,-7.17,-9.21,-7.73,❌ LOS
2025-02-03,8.54,188.01,-7.29,-9.08,-9.43,❌ LOS
2026-01-22,6.88,159.83,-2.4,0.23,14.45,✅ WIN
2026-02-10,10.32,169.4,6.41,5.41,-4.35,❌ LOS
2026-02-11,28.7,178.22,1.02,-2.19,-11.06,❌ LOS
2026-02-12,35.39,175.44,4.26,-0.75,-9.8,❌ LOS
2026-02-13,10.76,173.55,4.8,0.37,-8.3,❌ LOS
2026-02-17,8.54,175.02,2.88,-1.79,-8.29,❌ LOS
2026-02-18,15.41,180.25,-0.94,-6.13,-12.91,❌ LOS
2026-02-19,11.55,180.04,-3.18,-6.87,-13.67,❌ LOS
2026-02-20,17.44,182.92,-4.81,-9.85,-16.33,❌ LOS
2026-02-23,20.88,181.89,-4.23,-10.24,-14.71,❌ LOS
2026-02-24,14.27,180.06,-4.54,-9.62,-14.01,❌ LOS
2026-02-25,10.12,178.55,-5.23,-9.26,-11.98,❌ LOS
2026-02-26,9.93,174.31,-3.8,-9.06,-10.34,❌ LOS
2026-02-27,10.52,174.13,-5.3,-9.12,-11.89,❌ LOS
2026-06-26,12.23,155.92,-0.24,-1.34,1.92,✅ WIN
