Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-08-30,12.1,150.99,-4.03,-4.65,0.18,✅ WIN
2024-11-25,21.02,159.49,-1.42,-0.68,-1.07,❌ LOS
2024-12-06,40.46,162.56,-2.7,-2.18,-6.31,❌ LOS
2025-02-06,24.55,165.48,-11.4,-15.82,-18.31,❌ LOS
2025-02-12,13.6,161.28,-10.09,-14.14,-25.38,❌ LOS
2025-05-12,25.94,134.36,-0.88,-2.27,-0.02,❌ LOS
2025-05-13,18.0,135.94,-3.13,-3.99,-1.45,❌ LOS
2025-05-14,11.74,135.7,-6.94,-3.42,-2.23,❌ LOS
2025-07-01,14.22,144.96,1.2,1.02,-0.39,❌ LOS
2025-07-10,15.84,151.8,-3.18,-4.43,-8.64,❌ LOS
2025-11-21,14.46,158.18,1.78,-3.32,4.81,✅ WIN
2025-11-24,31.62,161.39,-0.06,-5.91,2.45,✅ WIN
2025-11-25,23.76,166.25,-3.08,-7.01,-0.55,❌ LOS
2025-12-11,13.83,160.99,0.88,2.82,2.56,✅ WIN
2026-02-17,12.5,169.43,-3.28,-3.43,-12.95,❌ LOS
