Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-09-10,2.73,16.94,2.29,4.46,3.75,✅ WIN
2025-09-25,3.03,17.59,-5.37,2.15,-2.2,❌ LOS
2026-01-14,2.54,18.3,0.11,10.76,15.86,✅ WIN
2026-01-27,2.5,19.36,2.41,8.93,12.68,✅ WIN
2026-01-28,3.87,19.69,2.37,11.16,11.41,✅ WIN
2026-01-29,4.66,20.26,-3.29,4.61,9.42,✅ WIN
2026-01-30,2.71,19.6,4.31,11.36,16.02,✅ WIN
2026-02-02,3.06,19.34,7.97,10.89,14.95,✅ WIN
2026-02-09,2.98,20.88,2.71,6.47,7.9,✅ WIN
2026-02-10,3.69,21.09,4.85,3.44,11.69,✅ WIN
2026-02-11,4.04,21.88,5.04,0.23,7.18,✅ WIN
2026-02-12,3.24,21.2,5.81,4.59,9.45,✅ WIN
2026-02-13,2.39,21.82,2.69,4.19,7.0,✅ WIN
2026-02-17,2.4,21.45,3.66,3.66,9.81,✅ WIN
2026-02-19,3.04,22.99,-4.58,0.73,8.28,✅ WIN
2026-02-24,2.49,22.23,0.0,1.34,14.44,✅ WIN
2026-03-02,3.56,22.74,-0.26,2.69,16.86,✅ WIN
