Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-10-30,5.4,15.04,2.19,-2.73,-0.6,❌ LOS
2026-04-15,5.99,27.23,9.99,12.34,30.26,✅ WIN
2026-04-16,6.22,27.6,8.01,13.8,27.72,✅ WIN
2026-04-17,9.44,28.59,11.93,10.49,18.26,✅ WIN
2026-04-20,7.27,29.28,5.36,10.25,8.09,✅ WIN
2026-04-21,7.89,29.6,1.62,12.97,4.36,✅ WIN
2026-04-22,7.72,29.95,2.14,14.06,5.81,✅ WIN
2026-04-23,7.98,29.81,5.37,11.84,9.49,✅ WIN
2026-04-24,14.21,32.0,-1.28,6.97,8.78,✅ WIN
2026-04-27,8.7,30.85,4.64,14.42,26.26,✅ WIN
2026-04-28,7.08,30.08,11.17,13.96,29.89,✅ WIN
2026-04-29,7.46,30.59,11.67,15.95,32.72,✅ WIN
2026-04-30,5.77,31.41,6.14,12.23,22.09,✅ WIN
2026-05-05,7.91,33.44,2.51,-7.63,19.35,✅ WIN
2026-05-06,7.52,34.16,3.83,-7.23,12.41,✅ WIN
2026-05-08,6.44,34.23,-1.23,1.69,3.77,✅ WIN
2026-05-11,6.02,35.3,-10.34,10.34,-0.62,❌ LOS
