Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-20,34.26,164.0,-0.56,-2.02,-1.24,❌ LOS
2024-11-25,34.21,166.99,-1.78,-7.89,-7.14,❌ LOS
2025-01-27,26.64,175.53,0.87,-1.15,-18.54,❌ LOS
2025-01-28,24.33,173.21,2.39,0.31,-15.74,❌ LOS
2025-01-29,21.1,173.77,1.78,-1.02,-15.56,❌ LOS
2025-01-30,22.36,176.5,-2.51,0.32,-16.22,❌ LOS
2025-01-31,20.6,176.2,-1.49,-10.66,-18.79,❌ LOS
2025-02-03,29.14,177.06,-2.0,-12.43,-20.02,❌ LOS
2026-02-03,51.91,134.73,3.38,9.66,14.89,✅ WIN
2026-02-04,46.41,142.06,1.56,3.72,5.55,✅ WIN
2026-02-05,42.81,149.22,0.5,1.01,1.03,✅ WIN
2026-02-06,28.27,140.83,5.77,7.42,8.33,✅ WIN
2026-02-12,32.08,149.97,0.51,4.22,0.5,✅ WIN
