Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-27,9.34,6.35,-3.94,-17.32,-30.71,❌ LOS
2024-12-03,1.05,5.53,-7.78,-18.08,-20.98,❌ LOS
2024-12-05,1.87,6.1,-13.93,-35.08,-28.69,❌ LOS
2024-12-06,1.36,6.16,-21.92,-26.14,-31.98,❌ LOS
2024-12-09,1.92,5.99,-22.37,-27.55,-38.56,❌ LOS
2025-01-24,1.7,5.24,6.68,17.56,6.87,✅ WIN
2025-01-29,3.07,5.78,0.17,10.9,7.09,✅ WIN
2025-01-30,3.96,6.05,1.49,6.78,-6.45,❌ LOS
2025-01-31,2.52,5.59,10.2,6.8,-9.48,❌ LOS
2025-02-03,1.19,5.6,18.75,2.5,-6.43,❌ LOS
2025-02-04,3.17,5.94,2.02,-3.37,-6.57,❌ LOS
2025-02-06,2.62,6.14,5.21,0.33,-12.54,❌ LOS
2025-02-07,1.06,6.16,-3.08,-9.09,-16.72,❌ LOS
2025-02-10,2.91,6.65,-13.68,-11.13,-19.25,❌ LOS
2025-02-11,0.92,6.06,-5.28,7.43,-8.09,❌ LOS
2025-02-12,1.85,6.41,-11.54,-3.43,-17.94,❌ LOS
2025-02-14,1.72,5.97,-6.2,-15.24,-6.2,❌ LOS
2025-02-26,1.6,6.51,-14.75,-14.44,-28.57,❌ LOS
2026-01-12,1.1,4.71,-4.46,-3.82,-5.31,❌ LOS
2026-06-01,0.94,4.75,-3.37,-10.74,-16.0,❌ LOS
2026-06-02,1.98,5.26,-13.69,-19.96,-22.81,❌ LOS
