Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-25,1.82,14.92,-3.02,17.23,16.29,✅ WIN
2024-12-05,12.57,17.38,-0.81,-4.26,0.81,✅ WIN
2024-12-06,4.41,17.4,-2.76,-2.99,1.67,✅ WIN
2024-12-09,2.77,17.16,-3.73,0.52,2.56,✅ WIN
2024-12-10,3.53,17.49,-4.4,-0.8,5.09,✅ WIN
2024-12-11,2.13,17.58,-6.31,-1.31,0.11,✅ WIN
2024-12-12,1.74,17.24,-3.48,0.64,5.63,✅ WIN
2024-12-13,1.63,16.92,-0.24,4.14,6.8,✅ WIN
2024-12-20,2.07,16.88,4.38,4.8,0.89,✅ WIN
2025-01-10,3.79,18.38,-0.6,-6.42,-9.58,❌ LOS
2025-01-21,1.7,18.64,-7.99,-9.66,-14.16,❌ LOS
2025-01-22,2.3,18.66,-7.13,-9.11,-15.01,❌ LOS
2025-07-10,2.49,12.94,-3.79,-11.44,-9.35,❌ LOS
2025-12-09,2.05,15.03,6.39,3.79,4.66,✅ WIN
2025-12-10,1.7,15.14,2.44,3.57,5.61,✅ WIN
2025-12-15,2.03,15.33,6.07,0.0,-1.24,❌ LOS
2025-12-16,2.96,15.99,-2.44,-4.13,-1.75,❌ LOS
