Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-05-16,1.87,4.8,-22.5,-35.0,-36.25,❌ LOS
2025-10-03,0.39,4.28,-4.44,-4.67,-7.94,❌ LOS
2025-10-10,0.45,4.09,-0.24,-2.2,-12.22,❌ LOS
2025-10-14,0.46,4.65,-15.27,-12.9,-21.72,❌ LOS
2025-10-15,0.46,4.6,-19.13,-12.61,-21.3,❌ LOS
2025-10-16,0.61,4.43,-10.38,-13.77,-25.28,❌ LOS
2025-12-03,0.37,4.35,-17.7,-26.21,-24.37,❌ LOS
2025-12-04,0.74,4.49,-20.94,-26.95,-27.62,❌ LOS
2025-12-08,0.38,4.55,-33.63,-18.68,-30.33,❌ LOS
2026-04-06,0.79,3.07,-2.61,-4.89,-17.92,❌ LOS
